Id transacción,Comercio Id,Mes Operacion,Estado,Moneda,# Transacciones,Monto Transaccion,Monto Contracargo (Venta)
1001,0,1/7/2021,IN_PROGRESS,MXN,"3,679,780","1,192,891,046",0
1002,0,1/7/2021,COMPLETED,MXN,"12,366","23,472,915",0
1003,0,1/7/2021,FAILED,MXN,"5,115","7,124,189.72",0
1004,0,1/8/2021,IN_PROGRESS,MXN,"2,536,306","8,193,985,268",0
1005,0,1/8/2021,CANCELLED,MXN,"876,854","2,786",0
1006,0,1/8/2021,COMPLETED,MXN,"11,693","22,654,486",0
1007,0,1/8/2021,FAILED,MXN,"4,629","6,616,879.32","38,500"
1008,1,1/7/2021,IN_PROGRESS,MXN,"1,748,668","2,975,559,643",0
1009+,1,1/7/2021,COMPLETED,MXN,"8,218","9,188,680",0
1010,1,1/7/2021,FAILED,MXN,"3,969","3,114,530.59",0
1011,1,1/8/2021,IN_PROGRESS,MXN,"2,024,423","3,373,727,716",0
1012,1,1/8/2021,COMPLETED,MXN,"8,433","10,123,512",0
1013,1,1/8/2021,FAILED,MXN,"3,923","3,188,906.68",0
1014,2,1/7/2021,FAILED,MXN,"1,740,857","143,075,558.00",0
1015,2,1/7/2021,COMPLETED,MXN,"190,740","14,991,421.40","292,951.89"
1016,2,1/7/2021,ERROR,MXN,"5,528","453,723.80",0
1017,2,1/7/2021,IN_PROGRESS,MXN,27,"2,306.56",0
1018,2,1/8/2021,FAILED,MXN,"1,399,830","1,046,906.47",0
1019,2,1/8/2021,COMPLETED,MXN,"168,731","127,617.00","245,044.31"
1020,2,1/8/2021,ERROR,MXN,555,"42,137.63",0
1021,2,1/8/2021,CANCELLED,MXN,8,"1,748,135.91",0
1022,3,1/7/2021,FAILED,MXN,"812,579","284,702,277.90",0
1023,3,1/7/2021,COMPLETED,MXN,"613,500","173,899,830.15","314,904.55"
1024,3,1/7/2021,ERROR,MXN,"19,883","16,321,286.01",0
1025,3,1/7/2021,CANCELLED,MXN,"14,659","146,861.42",0
1026,3,1/7/2021,IN_PROGRESS,MXN,"1,506",0.00,0
1027,3,1/8/2021,FAILED,MXN,"808,349","281,562,047.36",0
1028,3,1/8/2021,COMPLETED,MXN,"645,769","186,947,938.60","283,435.29"
1029,3,1/8/2021,ERROR,MXN,"18,423","15,530,694.39",0
1030,3,1/8/2021,CANCELLED,MXN,"14,977",0.00,0
1031,3,1/8/2021,IN_PROGRESS,MXN,440,"1,413.62",0
1032,4,1/7/2021,COMPLETED,MXN,"788,067","57,990,070.90","376,341.60"
1033,4,1/7/2021,FAILED,MXN,"368,521","28,719,506.49",0
1034,4,1/7/2021,CANCELLED,MXN,"38,401","5,812,923.14",0
1035,4,1/7/2021,ERROR,MXN,"1,150","97,923",0
1036,4,1/7/2021,IN_PROGRESS,MXN,4,255.19,0
1037,4,1/8/2021,COMPLETED,MXN,"869,162","61,808,315.01","395,699.31"
1038,4,1/8/2021,FAILED,MXN,"365,878","27,945,608.75",0
1039,4,1/8/2021,CANCELLED,MXN,"36,408","5,341,475.28",0
1040,4,1/8/2021,ERROR,MXN,418,"36,899.61",0
1041,5,1/7/2021,FAILED,MXN,"1,528,610","221,300,080.12",0
1042,5,1/7/2021,COMPLETED,MXN,"57,263","7,639,903.39","26,570.79"
1043,5,1/7/2021,CANCELLED,MXN,"3,718","43,548.84",0
1044,5,1/7/2021,ERROR,MXN,"3,285","389,909.87",0
1045,5,1/7/2021,IN_PROGRESS,MXN,15,"1,917",0
1046,5,1/8/2021,FAILED,MXN,"587,480","83,874,503.08",0
1047,5,1/8/2021,COMPLETED,MXN,"28,070","4,001,703.46","13,986.54"
1048,5,1/8/2021,CANCELLED,MXN,"1,006","9,585.83",0
1049,5,1/8/2021,ERROR,MXN,247,"28,747.76",0
1050,5,1/8/2021,IN_PROGRESS,MXN,1,99.03,0
1051,6,1/7/2021,FAILED,MXN,"632,051","512,482,460.57",0
1052,6,1/7/2021,COMPLETED,MXN,"419,077","304,352,460.96",0
1053,6,1/7/2021,ERROR,MXN,"1,061","809,507.47",0
1054,6,1/8/2021,FAILED,MXN,"619,928","459,733,157.74",0
1055,6,1/8/2021,COMPLETED,MXN,"413,001","276,150,215.92",0
1056,6,1/8/2021,ERROR,MXN,36,"112,290.68",0
1057,7,1/7/2021,FAILED,MXN,"344,323","14,156,127.70",0
1058,7,1/7/2021,COMPLETED,MXN,"245,589","19,735,344.06","85,700.56"
1059,7,1/7/2021,CANCELLED,MXN,"239,346","4,770,441.37",0
1060,7,1/7/2021,ERROR,MXN,709,"22,201.90",0
1061,7,1/7/2021,IN_PROGRESS,MXN,1,74.5,0
1062,7,1/8/2021,COMPLETED,MXN,"237,333","19,037,873.54","150,237.97"
1063,7,1/8/2021,FAILED,MXN,"234,983","16,713,904.10",0
1064,7,1/8/2021,CANCELLED,MXN,"31,859","638,745.27",0
1065,7,1/8/2021,ERROR,MXN,173,"11,405.60",0
1066,8,1/7/2021,FAILED,MXN,"304,504","24,625,859.35",0
1067,8,1/7/2021,COMPLETED,MXN,"127,622",0.00,779.98
1068,8,1/7/2021,CANCELLED,MXN,"26,696","57,995.91",0
1069,8,1/7/2021,ERROR,MXN,425,"35,631",0
1070,8,1/7/2021,IN_PROGRESS,MXN,3,331.62,0
1071,8,1/8/2021,FAILED,MXN,"302,419","23,219,584.10",0
1072,8,1/8/2021,COMPLETED,MXN,"131,441","14,082,476.77",749.62
